Var1,Var2
EX_lpchol_hs[e],Exchange/demand reactions
EX_lysargleu[e],Exchange/demand reactions
EX_lyscyshis[e],Exchange/demand reactions
EX_lysglnphe[e],Exchange/demand reactions
EX_lysgluglu[e],Exchange/demand reactions
EX_lyslyslys[e],Exchange/demand reactions
EX_lyspheile[e],Exchange/demand reactions
EX_lystrparg[e],Exchange/demand reactions
EX_lystyrile[e],Exchange/demand reactions
EX_lysvalphe[e],Exchange/demand reactions
EX_lysvaltrp[e],Exchange/demand reactions
EX_malcoa[e],Exchange/demand reactions
EX_meracmp[e],Exchange/demand reactions
EX_metargleu[e],Exchange/demand reactions
EX_metasntyr[e],Exchange/demand reactions
EX_metglntyr[e],Exchange/demand reactions
EX_metglyarg[e],Exchange/demand reactions
EX_methislys[e],Exchange/demand reactions
EX_metmetile[e],Exchange/demand reactions
EX_metphearg[e],Exchange/demand reactions
EX_mettrpphe[e],Exchange/demand reactions
EX_mhista[e],Exchange/demand reactions
EX_mlthf[e],Exchange/demand reactions
EX_mma[e],Exchange/demand reactions
EX_nh4[e],Exchange/demand reactions
EX_nicrnt[e],Exchange/demand reactions
EX_nrvnc[e],Exchange/demand reactions
EX_ocdca[e],Exchange/demand reactions
EX_ocdcea[e],Exchange/demand reactions
EX_odecrn[e],Exchange/demand reactions
EX_pchol2linl_hs[e],Exchange/demand reactions
EX_pchol2ole_hs[e],Exchange/demand reactions
EX_pchol2ste_hs[e],Exchange/demand reactions
EX_pchol_hs[e],Exchange/demand reactions
EX_pcholar_hs[e],Exchange/demand reactions
EX_pcholdoc_hs[e],Exchange/demand reactions
EX_pcholeic_hs[e],Exchange/demand reactions
EX_pcholet_hs[e],Exchange/demand reactions
EX_pcholhep_hs[e],Exchange/demand reactions
EX_pchollinl_hs[e],Exchange/demand reactions
EX_pcholmyr_hs[e],Exchange/demand reactions
EX_pcholn15_hs[e],Exchange/demand reactions
EX_pcholn1836_hs[e],Exchange/demand reactions
EX_pcholn183_hs[e],Exchange/demand reactions
EX_pcholn19_hs[e],Exchange/demand reactions
EX_pcholn201_hs[e],Exchange/demand reactions
EX_pcholn203_hs[e],Exchange/demand reactions
EX_pcholn204_hs[e],Exchange/demand reactions
EX_pcholn205_hs[e],Exchange/demand reactions
EX_pcholn224_hs[e],Exchange/demand reactions
EX_pcholn2254_hs[e],Exchange/demand reactions
EX_pcholn225_hs[e],Exchange/demand reactions
EX_pcholn226_hs[e],Exchange/demand reactions
EX_pcholn24_hs[e],Exchange/demand reactions
EX_pcholole_hs[e],Exchange/demand reactions
EX_pcholpalm_hs[e],Exchange/demand reactions
EX_pcholpalme_hs[e],Exchange/demand reactions
EX_pcholste_hs[e],Exchange/demand reactions
EX_pcresol[e],Exchange/demand reactions
EX_pcrn[e],Exchange/demand reactions
EX_pe12_hs[e],Exchange/demand reactions
EX_pe13_hs[e],Exchange/demand reactions
EX_pe14_hs[e],Exchange/demand reactions
EX_pe15_hs[e],Exchange/demand reactions
EX_pe161_hs[e],Exchange/demand reactions
EX_pe17_hs[e],Exchange/demand reactions
EX_pe203_hs[e],Exchange/demand reactions
EX_pe226_hs[e],Exchange/demand reactions
EX_pe2linl_hs[e],Exchange/demand reactions
EX_pear_hs[e],Exchange/demand reactions
EX_pedh203_hs[e],Exchange/demand reactions
EX_pelinl_hs[e],Exchange/demand reactions
EX_peole_hs[e],Exchange/demand reactions
EX_pepalm_hs[e],Exchange/demand reactions
EX_peste_hs[e],Exchange/demand reactions
EX_pheasnmet[e],Exchange/demand reactions
EX_pheasp[e],Exchange/demand reactions
EX_pheglnphe[e],Exchange/demand reactions
EX_pheleu[e],Exchange/demand reactions
EX_pheleuasp[e],Exchange/demand reactions
EX_pheleuhis[e],Exchange/demand reactions
EX_phelysala[e],Exchange/demand reactions
EX_phelyspro[e],Exchange/demand reactions
EX_phephe[e],Exchange/demand reactions
EX_phepheasn[e],Exchange/demand reactions
EX_phephethr[e],Exchange/demand reactions
EX_pheproarg[e],Exchange/demand reactions
EX_phesertrp[e],Exchange/demand reactions
EX_phethrlys[e],Exchange/demand reactions
EX_phetrpleu[e],Exchange/demand reactions
EX_phetyr[e],Exchange/demand reactions
EX_phetyrgln[e],Exchange/demand reactions
